Author_Name,Affiliation
Antshel K.M.,"Department of Psychology, Syracuse University, Syracuse, NY, United States"
Arabian F.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States"
Arango A.,"Roseman University of Health Sciences, College of Dental Medicine, South Jordan, UT  84095, United States"
Arashida Y.,"Graduate School of Engineering, Yokohama National University, 79-5 Tokiwadai, Hodogaya-ku, Yokohama, Kanagawa, 240-8501, Japan"
Arce S.,"Department of Chemical Engineering, Ira A. Fulton College of Engineering and Technology, Brigham Young University, 350 Clyde Building, Provo, UT  84602, United States"
Archibald J.L.,"AMS-TAOS USA Inc., 5556 Tennyson Pkwy., Plano, TX  75024, United States"
Argyle M.,"Chemical Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Argyle M.D.,"Department of Chemical Engineering, Brigham Young University, 330 Engineering Building, Provo, UT  84602, United States"
Armknecht J.,"Brigham Young University, United States"
Armstrong A.G.,"Dept. of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Arnold B.T.,"Brigham Young University, Provo, UT, United States"
Arshad S.,"Chalmers University of Technology, Gothenburg, Sweden"
Arya M.,"Advanced Deployable Structures, Jet Propulsion Laboratory, California Institute of Technology, 299-101, 4800 Oak Grove Drive, Pasadena, CA  91109, United States"
Aryal B.R.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Ashcraft C.C.,"Brigham Young University, Computer Science Department, Provo, UT, United States"
Ashe J.,"General Electric Global Research (GE-GR), 1 Research Circle, Niskayuna, NY  12309, United States"
Ashida M.,"Graduate School of Engineering Science, Osaka University, 1-3 Machikaneyama-cho, Toyonaka, Osaka, 560-8531, Japan"
Asimaki D.,"California Institute of Technology, United States"
Aslani P.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Asmar M.E.,"School of Sustainable Engineering and the Built Environment, Department Construction Management and Engineering, Arizona State Univ., P.O. Box 873005, Tempe, AZ  85287-3005, United States"
Astitha M.,"Department of Civil and Environmental Engineering, University of Connecticut, Storrs, CT, United States"
Atkinson N.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Austin D.E.,"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States"
Averett T.,"Brigham Young University, United States"
Avila A.,"Department of Mechanical Engineering, Brigham Young University, 435 CTB, Provo, UT  84602, United States"
Avval T.G.,"Department of Chemistry and Biochemistry, Brigham Young University, C100 BNSN, Provo, UT  84602, United States"
Awerkamp P.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84604, United States"
Ayoubi P.,"California Institute of Technology, Dept. of Mechanical and Civil Engineering, 1200 E. California Blvd., Pasadena, CA  91125, United States"
Ba Q.,"Institute of Thermal Science and Technology, Shandong University, Jinan, Shandong  250061, China"
Babaei A.,"School of Chemical and Petroleum Engineering, Sharif University of Technology, Tehran, Iran"
Badger J.C.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Badger P.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Baer D.R.,"Environmental Molecular Sciences Laboratory, Pacific Northwest National Laboratory, Richland, WA  99352, United States"
Bahari M.,"Departments of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Bai H.,"Mechanical and Aerospace Engineering Department, Oklahoma State University at Stillwater, Stillwater, OK  74074, United States"
Bai R.,"School of Mechatronics, Xidian University, Xi'an, Shaanxi, 710071, China"
Bair J.,"School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ  85287, United States, Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States"
Bair J.L.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States, Predictive Chemical and Nuclear Simulations, Pacific Northwest National Laboratory, Richland, WA, United States"
Baird G.M.,"Infrastructure Financial Consulting, 3507 North University Ave., Provo, UT  84604, United States, Marriott School of Management, Brigham Young Univ., 730 TNRB, Provo, UT  84602-3113, United States, Buried Asset Management Infrastructure-International, Louisiana Tech Univ., 1207 Agriculture Dr., Ruston, LA  71270, United States"
Baird S.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Baker M.J.,"Department of Linguistics, Brigham Young University, Provo, UT  84602, United States"
Baker N.F.,"Department of Mechanical Engineering, Brigham Young University, 360 EB, Provo, UT  84602, United States"
Baker W.H.,"Brigham Young University, United States"
Bakker G.,"Department of Psychiatry and Neuropsychology, Maastricht University, Netherlands"
Baktur R.,"Department of Electrical and Computer Engineering, Utah State University, Logan, UT  84322, United States"
Balijepalli S.K.,"Department of Chemistry and Biochemistry, Brigham Young University, C100 Benson Building, Provo, UT  84604, United States"
Baliyarasimhuni S.P.,"IIIT-Delhi, New Delhi, India"
Balling R.J.,"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT  84602, United States"
Ban H.,"Department of Mechanical & Aerospace Engineering, Utah State University, Logan, UT  84322, United States"
Banesh D.,"Los Alamos National Laboratory, Los Alamos, United States"
Bangerter N.,"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT, United States"
Banik J.A.,"U.S. Air Force Research Laboratory, Kirtland Air Force Base, New Mexico, 87117, United States, Space Vehicles Directorate, 3550 Aberdeen Ave SE, Germany"
Bannister M.T.,"Queen's University Belfast, Astrophysics Research Centre, Belfast, United Kingdom"
Baptista A.,"Department of Civil Engineering, Federal University of São Carlos – UFSCar, São Carlos, Brazil"
Baradoy D.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Barber J.L.,"Los Alamos National Laboratory, Los Alamos, United States"
Barker B.,"Department of Mathematics, Brigham Young University, Provo, UT  84602, United States"
Barker E.I.,Pacific Northwest National Laboratory
Barnes J.,"Department of Physics, University of Idaho, Moscow, ID  83844, United States"
Barnwell N.V.,"Electrical Consultants Inc., Salt Lake City, UT, United States"
Barreto D.,"Department of Civil Engineering, Federal University of São Carlos - UFSCaR, São Carlos, Brazil"
Barrett B.J.,"Department of Civil and Environmental Engineering, Ira A. Fulton College of Engineering and Technology, Brigham Young University, 368 Clyde Building, Provo, UT  84602, United States"
Barrett L.K.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Barrios J.A.,"University of Dayton, Dayton, OH, United States"
Barter M.,"School of Communications, Brigham Young University, United States"
Barton T.J.,"Department of Manufacturing Engineering Technology, Brigham Young University, Provo, UT, United States"
Bartschi J.M.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States"
Baskaran R.,"Ford Motor Company, United States"
Basko R.,"Brigham Young University, United States"
Baskota A.,"Computer Science Department, Brigham Young University, Provo, UT  84602, United States"
Bateman T.C.,"Brigham Young University, United States"
Bates C.O.,"Chemistry and Biochemistry, College of Physical and Mathematical Sciences, Brigham Young University, Provo, UT, United States"
Bathe M.,"Department of Biological Engineering, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA  02139, United States"
Bauer J.M.,"University of Maryland, Department of Astronomy, College Park, MD, United States, Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, United States"
Baumgarten T.E.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Baxter A.,"Sustainable Energy Solutions, United States"
Baxter J.S.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Baxter L.,"Brigham Young University, United States"
Baxter L.L.,"Department of Chemical Engineering, Brigham Young University, Provo, UT  84604, United States"
Bean M.,"Compliant Mechanisms Research Laboratory in Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Beard J.D.,"Department of Public Health, Brigham Young University, Provo, UT, United States"
Beard R.,"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Beard R.W.,"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States"
Bearden C.E.,"Department of Psychiatry and Biobehavioral Sciences, Semel Institute for Neuroscience and Human Behavior, University of California at Los Angeles, Los Angeles, CA, United States, Department of Psychology, University of California at Los Angeles, Los Angeles, CA, United States"
Beauchamp M.J.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Behounek M.,"Apache Corp, United States"
Bekker B.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Belanger H.,"James A. Haley Veterans Hospital, Tampa, FL, United States, University of South Florida, Tampa, FL, United States"
Belden J.,"Vandelay Industries, Barrington, RI  02806, United States"
Bencivenga F.,"Elettra-Sincrotrone Trieste S.C.pA., S.S. 14km 163 5 in Area Science Park Basovizza, Trieste, 34149, Italy"
Bender C.,"Fehr and Peers, 2180 South 1300 East, Ste 220, Salt Lake City, UT  84106, United States"
Benson D.,"Woodbury School of Business, Utah Valley University, Orem, UT, United States"
Bentley N.L.,"NASA-Johnson Space Center, Houston, TX, United States"
Berg D.C.,"Department of Polymer Materials and Plastics Engineering, Technische Universität Clausthal, Germany"
Bergen B.K.,"Los Alamos National Laboratory, Applied Computer Science Group (CCS-7), United States"
Berselli G.,"Department of Mechanical, Energy, Management and Transportation Engineering, University of Genova, Genova, 16145, Italy"
Bertels C.,"University of Kansas, United States"
Bertrand R.,
Besendorfer J.,"GeoEngineers Inc, 523 E. 2nd Ave, Spokane, WA  99202, United States"
Best C.M.,"Brigham Young University, Provo, UT  84602, United States"
Beutler J.,"Department of Chemical Engineering, Brigham Young University, Provo, UT  84604, United States"
Beyerlein I.J.,"UC Santa Barbara, Mechanical Engineering Department, Materials Department, Santa Barbara, CA  93106, United States"
Beyzaei C.,"Exponent, Civil Engineering Practice, Oakland, CA, United States"
Bhamra T.,"Loughborough Design School, Loughborough University, Loughborough, LE11 3TU, United Kingdom"
Bhat S.K.,"Los Alamos National Lab, Los Alamos, NM  87545, United States"
Bickerton S.,"Centre for Advanced Composite Materials, University of Auckland, New Zealand"
Bickham B.P.,"Electrical and Computer Engineering Department, Brigham Young University, Provo, Utah  84602, United States"
Bidstrup C.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Bidstrup C.C.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Bigler E.D.,"Department of Psychology and Neuroscience, Brigham Young University, Provo, UT, United States"
Bilancia P.,"Department of Mechanical, Energy, Management and Transportation Engineering, University of Genova, Genova, 16145, Italy"
Billings B.,"Chemical Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Billings W.M.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Bilodeau R.A.,"Mechanical Engineering Department, Purdue University, 585 Purdue Mall, West Lafayette, IN  47907, United States"
Bingham E.,"Ira A. Fulton College of Engineering and Technology, Brigham Young Univ., Provo, UT  84602, United States"
Birch S.,"Department of Astronomy, Cornell University, Ithaca, NY  14853, United States"
Bird E.,"Brigham Young University, Department of Mechanical Engineering, Provo, UT, United States"
Bird E.T.,"Brigham Young University, Department of Mechanical Engineering, Provo, UT, United States"
Bischoff M.,"Institute for Structural Mechanics, University of Stuttgart, Stuttgart, Germany"
Biswas A.,"Los Alamos National Laboratory, Los Alamos, United States"
Biwer C.M.,"Los Alamos National Laboratory, Los Alamos, United States"
Bjoraker G.L.,"NASA Goddard Space Flight Center, Greenbelt, MD, United States"
Bjørkevoll K.,"SINTEF, Trondheim, Norway"
Bjørkevoll K.S.,"SINTEF Petroleum Research, Norway"
Black J.A.,"School of Engineering, University of California Santa Cruz, Santa Cruz, CA  95064, United States"
Black K.M.,"Department of Communication Disorders, Brigham Young University, Provo, UT, United States"
Black R.,"Wagstaff Crane Service, 4315 S. Commerce Dr., Murray, UT  84107, United States"
Black R.A.,"Brigham Young University, Provo, UT, United States"
Blackburn L.,"Department of Chemical Engineering, University of Utah, Salt Lake City, UT, United States"
Blackshaw R.E.,"Agriculture and Agri-Food Canada, Lethbridge, AB, Canada"
Blonquist J.,"Brigham Young University, 368 Clyde Building, Provo, UT  84602, United States"
Blotter J.D.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Boardman B.,"Engineering Technology and Design Division, Los Alamos National Laboratory, Los Alamos, NM, United States"
Boaventura-Cunha J.,"INESC-TEC Technology and Science, Campus da FEUP, Porto, Portugal, Department of Engineering, University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal"
Bodaghi M.,"Composite Materials and Structures Group, INEGI, Portugal"
Bodewits D.,"University of Maryland, Department of Astronomy, College Park, MD, United States"
Bodily D.M.,"Brigham Young University, Provo, UT  84602, United States"
Bodily P.,"Computer Science Department, Brigham Young University, Provo, UT, United States"
Bodily P.M.,"Computer Science Department, Brigham Young University, Provo, UT  84604, United States"
Bodily R.,"Senior Data Scientist, Lumen Learning, Portland, United States"
Boekweg E.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Boettcher E.,"Honda Research & Development Americas Inc., Raymond, OH, United States"
Bohman M.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States, NSF Center for Space, High-performance, and Resilient Computing, Provo, UT  84602, United States"
Bohn R.E.,"School of Global Policy and Strategy, University of California San Diego, La Jolla, CA, United States"
Bolme C.,"Los Alamos National Laboratory, Los Alamos, United States"
Bolme D.,"Oak Ridge National Lab., United States"
Bong H.J.,"Department of Materials Science and Engineering, Ohio State University, 2041 College Rd., Columbus, OH  43210, United States"
Bonner N.,"Brigham Young University, United States"
Bopp D.G.,"National Institute of Standards and Technology, 325 Broadway, Boulder, CO, United States, Department of Physics, University of Colorado, Boulder, CO  80309, United States"
Borden M.J.,"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT  84602, United States"
Bosh A.S.,"MIT, Department of Earth, Atmospheric, and Planetary Sciences, Cambridge, MA, United States"
Boster K.,"Department of Manufacturing Engineering, Brigham Young University, United States"
Bourassa M.,"EOAS and COAPS, Florida State University, Tallahassee, FL, United States"
Bove V.M.,"MIT Media Lab, Massachusetts Institute of Technology, Cambridge, MA, United States"
Bowden A.,"Brigham Young University, Department of Mechanical Engineering, Provo, UT, United States"
Bowden A.E.,"BYU Applied Biomechanics Engineering Laboratory, Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Bowen L.,"Department of Mechanical Engineering, Pennsylvania State University, University Park, PA  16802, United States"
Bower A.F.,"School of Engineering, Brown University, Providence, RI  02912, United States"
Bowlan P.,"Los Alamos National Lab, Los Alamos, NM  87544, United States"
Bowman E.,"Ford Motor Company, United States"
Bowman K.E.,"Brigham Young University, United States"
Boyce P.,"Department of Electrical and Computer Engineering, University of Colorado Colorado Springs, Colorado Springs, CO  80918, United States"
Boyd-Graber J.,"University of Colorado Boulder, Boulder, CO, United States"
Bradley M.W.,"Chemical Engineering Department, Brigham Young University, Provo, UT, United States"
Bresciano K.A.,"Department of Computer Science, Brigham Young University, Provo, UT, United States"
Brewer E.,"Brigham Young University Provo, Computer Science Department Computer Science Department, Utah, 84602, United States"
Brewer J.,"Information and Decision Algorithms Laboratories, Brigham Young University, United States"
Briceño X.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Briggs F.,"Department of Population and Quantitative Health Sciences, Case Western Reserve University, Cleveland, OH  44106, United States"
Brink K.,"Munitions Directorate, Air Force Research Laboratory, Valparaiso, FL, United States"
Brink K.M.,"Air Force Research Laboratory, Eglin AFB, FL, United States"
Briscoe T.,"Brigham Young University, United States"
Brivadis E.,"Istituto di Matematica Applicata e Tecnologie Informatiche del CNR, Via Ferrata 1, Pavia, 27100, Italy"
Brock Kirwan C.,"Brigham Young University, United States"
Broderick G.,"Center for Clinical Systems Biology, Rochester General Hospital, Rochester, NY, United States, Dept. of Biomedical Engineering, Rochester Institute of Technology, Rochester, NY, United States"
Brodie M.,"Brigham Young University, United States"
Brodzik M.J.,"National Snow and Ice Data Center, Cooperative Institute for Research in Environmental Sciences, University of Colorado Boulder, Boulder, CO  80303, United States"
Bronson P.G.,"Brigham Young University, United States"
Broomfield J.,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences, University of Oxford, United Kingdom"
Brower D.,"Astro Technology, Inc., 712 Main Street, Houston, TX  77002, United States"
Brower D.V.,"Astro Technology, Inc., Houston, TX, United States"
Brown D.M.,"Departments of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Brown J.,"Illinois State University, United States"
Brown N.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Brown N.P.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Brown O.,"Department of Microbiology and Molecular Biology, Brigham Young University, Provo, UT  84602, United States"
Brown T.,"General Motors R&D, Warren, MI, United States"
Browning J.S.,"Dept. of Civil and Environmental Engineering, Brigham Young Univ., 376 Clyde Building, Provo, UT  84602, United States"
Brownlee B.J.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Broyles Z.,"Mechanical Engineering Department, Brigham Young University, Provo, United States"
Bruening D.,"Department of Exercise Science, Brigham Young University, Provo, UT, United States"
Bruening D.A.,"Brigham Young University, Provo, UT, United States"
Brueseke M.,"Kansas State University, Manhattan, KS, United States"
Brunhaver J.,"School of Electrical Computer and Energy Engineering (ECEE), Arizona State University (ASU), Tempe, AZ, United States"
Brusati M.,"Dipartimento di Fisica, Università degli Studi di Milano, via G. Celoria, 16, Milano, 20133, Italy"
Brushett F.R.,"Department of Chemical Engineering, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA  02139, United States"
Bryan C.R.,"Sandia National Laboratories, Albuquerque, NM, United States"
Bryden K.M.,"Department of Mechanical Engineering, Iowa State University, Ames, IA  50011, United States"
Buck D.,"Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Buck D.C.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Bucki R.,"Department of Medical Microbiology and Nanobiomedical Engineering, Medical University of Białystok, Mickiewicza 2c, Białystok, 15-222, Poland"
Buckmiller E.,"Department of Genetics and Biotechnology, Brigham Young University, Provo, UT, United States"
Budd R.,"U.S. Army Corps of Engineers, Kansas City District, 601 E. 12th -Rfsti, Kansas City, MO  64106, United States"
Buie M.W.,"Southwest Research Institute, Boulder, CO, United States"
Bull D.J.,"Materials Research Group, Faculty of Engineering and the Environment, University of Southampton, United Kingdom"
Bulloch R.,"Brigham Young Univ., 4198 JFSB, Provo, UT  84602, United States"
Bundy B.C.,"Department of Chemical Engineering, Brigham Young University, 350 CB, Provo, UT  84602, United States"
Bunimovich L.,"School of Mathematics, Georgia Institute of Technology, 686 Cherry Street, Atlanta, GA  30332, United States"
Bunker D.,"Brigham Young University, United States"
Bunnell S.,"Department of Mechanical Engineering, Brigham Young University, Provo, Utah, 84602, United States"
Burdette M.J.,"Electrical and Computer Engineering Department, 459 Clyde Building, Brigham Young University, Provo, UT  84602, United States"
Burgett J.M.,"Department of Construction Management, Clemson University, Clemson, SC, United States"
Burnett M.,"Brigham Young University, Provo, UT, United States"
Burrow D.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States"
Bush D.B.,"Department of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Bush W.S.,"Department of Population and Quantitative Health Sciences, Case Western Reserve University, Cleveland, OH  44106, United States"
Bustamante D.,"Brigham Young University, Provo, UT  84602, United States"
Busuttil P.,"Kuka Development Center, Sterling Heights, MI, United States"
Butail S.,"Northern Illinois University, DeKalb, IL  60115, United States"
Butler B.,"RMRS Missoula Fire Sciences Laboratory, USDA Forest Service, Missoula, MT  59808, United States"
Butler B.W.,"RMRS Missoula Fire Sciences Laboratory, USDA Forest Service, Missoula, MT  59808, United States"
Butler J.,"Brigham Young University, Department of Mechanical Engineering, 435 CTB, Provo, UT  84602, United States"
Butler J.J.,"Department of Mechanical Engineering, Brigham Young University, 350 EB, Provo, UT  84602, United States"
Butler M.,"Chemical Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Bybee S.,"Biology Department, Brigham Young University, Provo, UT, United States"
Bybee S.M.,"Department of Biology, Brigham Young University, Provo, UT  84602, United States"
Bécar N.A.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Cabas A.,"North Carolina State Univ., Dept. of Civil, Construction, and Environmental Engineering, Raleigh, NC, United States"
Caglar B.,"Department of Mechanical Engineering, KOÇ University, Turkey"
Caglar H.,"Department of Mechanical Engineering, KOÇ University, Turkey"
Cai H.,"School of Engineering, University of California, 1156 High Street, Santa Cruz, CA  95064, United States"
Calderon J.R.,"University of Colorado Boulder, Boulder, CO, United States"
Call M.S.,"Department of Engineering Leadership, Ira A. Fulton College of Engineering and Technology, Brigham Young University (BYU), United States"
Callahan C.,"School of Communications, Brigham Young University, United States"
Calton M.F.,"Department of Physics and Astronomy, Brigham Young University, N283 ESC, Provo, UT  84602, United States"
Calve S.,"Weldon School of Biomedical Engineering, Purdue University, West Lafayette, IN, United States"
Calvin J.J.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Calvopiña D.G.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Camacho J.S.,"Dept. of Civil Engineering, Sao Paulo State Univ., Alameda Bahia, 550, Ilha Solteira, SP  13565-905, Brazil"
Camacho R.,"Electrical and Computer Engineering, Brigham Young University, 6756 Provo, Utah United States 84602-0002 (e-mail: camacho@byu.edu)"
Camacho R.M.,"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT  84604, United States"
Cameron J.,"Brigham Young University, United States"
